               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.035839,            0.071535,            0.021499,             0.46742,             0.39409,             0.39265,             0.21459,             0.03347,            0.098701,            0.025671,             0.00802,             0.00802,             0.00802
                  62,            0.035815,            0.072185,            0.021446,             0.47944,             0.39566,             0.39598,             0.21729,            0.033422,            0.098709,            0.025388,            0.007987,            0.007987,            0.007987
                  63,            0.035797,             0.07098,            0.021371,             0.46233,             0.39327,             0.39002,             0.21359,            0.033454,            0.098635,            0.025536,            0.007954,            0.007954,            0.007954
                  64,            0.035852,            0.071671,            0.021376,             0.46794,             0.39269,             0.39156,             0.21467,            0.033395,            0.098668,            0.025463,            0.007921,            0.007921,            0.007921
                  65,            0.035681,            0.071676,            0.021337,             0.48057,             0.38911,             0.39443,             0.21553,            0.033397,            0.098736,            0.025391,            0.007888,            0.007888,            0.007888
                  66,            0.035581,            0.070529,            0.020896,             0.48588,             0.39464,              0.3987,              0.2192,            0.033313,            0.098433,            0.025277,            0.007855,            0.007855,            0.007855
                  67,            0.035796,            0.071567,            0.021159,             0.47285,             0.40014,             0.39729,             0.21884,            0.033326,            0.098533,            0.025378,            0.007822,            0.007822,            0.007822
                  68,            0.035636,            0.071654,            0.021016,             0.49087,             0.39722,             0.39988,             0.21919,             0.03327,            0.098431,            0.025129,            0.007789,            0.007789,            0.007789
                  69,            0.035795,            0.071697,            0.021093,             0.48166,              0.3937,             0.39795,             0.21885,            0.033234,            0.098548,            0.025247,            0.007756,            0.007756,            0.007756
                  70,            0.035551,            0.070769,            0.020842,             0.47968,             0.39828,              0.3995,             0.21999,            0.033239,            0.098207,            0.025147,            0.007723,            0.007723,            0.007723
                  71,            0.035354,            0.070889,            0.020921,             0.47929,             0.39258,             0.39556,             0.21857,            0.033219,            0.098256,            0.025273,             0.00769,             0.00769,             0.00769
                  72,            0.035474,            0.070729,            0.020978,             0.48435,             0.40019,             0.40342,             0.22214,            0.033169,            0.098239,            0.025136,            0.007657,            0.007657,            0.007657
                  73,            0.035492,            0.070198,            0.020786,             0.47987,              0.4013,             0.40352,             0.22135,            0.033156,            0.098301,            0.025139,            0.007624,            0.007624,            0.007624
                  74,            0.035381,            0.071229,            0.020659,             0.48583,             0.40113,             0.40456,             0.22266,            0.033096,            0.098099,            0.025135,            0.007591,            0.007591,            0.007591
                  75,            0.035412,            0.071299,            0.020673,             0.48688,             0.40663,             0.40445,             0.22272,            0.033098,            0.098156,             0.02516,            0.007558,            0.007558,            0.007558
                  76,            0.035305,            0.069455,            0.020401,             0.47878,             0.40803,             0.40511,             0.22372,            0.033097,            0.098077,             0.02511,            0.007525,            0.007525,            0.007525
